,Galaxia,N_dat,mu_w,sigma_w,sigma_br,sigma_C,sigma_cl+,sigma_cl-,sigma_L,sigma_Lcorr
0,10.NGC2541,1,30.5,0.1,--,--,--,--,--,--
1,11.NGC3198,1,30.8,0.1131370849898476,--,--,--,--,--,--
2,12.NGC3319,1,30.74,0.1131370849898476,--,--,--,--,--,--
3,15.NGC4258,4,29.508836346777947,0.06906354199314324,0.08859832341661143,0.09046265914517104,0.1267775275338785,0.09416669466497041,0.0687959882258125,0.10013541544262643
4,17.NGC6822,10,23.383562675735934,0.019588085982709807,0.020026375590318047,0.0187751013163521,0.022902086166975977,0.019832325707390908,0.01955861108720995,0.009583222762519944
5,21.M96,1,30.34,0.1360147050873544,--,--,--,--,--,--
6,22.NGC3370,3,32.15966900369155,0.03349606734649032,0.05420292395403411,0.04851860749433817,0.048875885533171015,0.053173526889715106,0.033690778086260635,0.1206539746573679
7,23.M66,1,30.500000000000004,0.1204159457879229,--,--,--,--,--,--
8,24.NGC4414,1,31.650000000000002,0.1878829422805593,--,--,--,--,--,--
9,25.NGC4496,1,31.18,0.094339811320566,--,--,--,--,--,--
10,26.NGC4535,1,31.25,0.0894427190999915,--,--,--,--,--,--
11,27.NGC4536,3,30.869079343084746,0.0342306602889713,0.07862887475108206,0.04499329697639378,0.05238899745998182,0.04948373183677646,0.03423406664350322,0.17672225439990896
12,28.NGC4725,1,30.65,0.1,--,--,--,--,--,--
13,3.M33,3,24.6226074168976,0.024645829213142022,0.0036617193072399114,0.0015951410219341936,0.0018321793839604084,0.0011388918718893137,0.024644119252849626,0.00041146540619212666
14,32.NGC5584,2,31.773471431162708,0.03711805551678806,0.0010612462380679589,0.0014994558810512524,0.00149039229457415,0.0015096077054259638,0.0372669397265497,6.0839148231484736e-05
15,33.NGC7331,1,30.89,0.1280624847486569,--,--,--,--,--,--
16,4.M81,1,27.8,0.1204159457879229,--,--,--,--,--,--
17,5.M101,3,29.18400386102894,0.026945015852146443,0.007321244235950882,0.007166335593685114,0.006213873894935773,0.006513633228571791,0.027020315302367662,0.0021503041003580583
18,7.NGC0925,1,29.84,0.0894427190999915,--,--,--,--,--,--
19,9.NGC2403,1,27.43,0.1699999999999999,--,--,--,--,--,--
