RefCode,Citation,Band,mu_0,e_R,Rank,Year,Date,Comments,Author,ADS_date,JD
2000ApJ...529..745F,Ferrarese et al.2000,I(BVI),23.39,0.16,1,2000,2024,There are no specific comments on the publication.,Valencia et al.2024,2000-02-00,2451575.5
2003AJ....125.3097W,Wyder 2003,F814W(F555W F814W),23.56,0.30,1,2003,2026,"Outermost C1 field. I_TRGB=20.30+/-0.30, (V-I)_TRGB=1.94, and A_V=1.20. Its larger uncertainty reflects the broad Sobel-response peak; extinction was obtained from CMD fitting.",Quintero-Salazar et al.2026,2003-06-00,2452791.5
2003AJ....125.3097W,Wyder 2003,F814W(F555W F814W),23.38,0.10,1,2003,2026,"Central bar field with a strong young population. I_TRGB=20.00+/-0.10, (V-I)_TRGB=1.90, and A_V=1.06. The TRGB error is estimated from the Sobel-peak width.",Quintero-Salazar et al.2026,2003-06-00,2452791.5
2003AJ....125.3097W,Wyder 2003,F814W(F555W F814W),23.36,0.10,1,2003,2026,"Intermediate minor-axis field. I_TRGB=19.90+/-0.10, (V-I)_TRGB=1.88, and A_V=0.94. This is the smallest reported modulus, but it is consistent with the other fields.",Quintero-Salazar et al.2026,2003-06-00,2452791.5
2003AJ....125.3097W,Wyder 2003,F814W(F555W F814W),23.47,0.15,1,2003,2026,"Field with the lowest fitted extinction, A_V=0.84, close to the Galactic foreground. I_TRGB=19.95+/-0.15 and (V-I)_TRGB=1.87. The result agrees with the other fields.",Quintero-Salazar et al.2026,2003-06-00,2452791.5
2005A&A...429..837C,"Cioni, M.-R. & Habing, H. J. 2005",I(JK),23.34,0.12,2,2005,2024,There are no specific comments on the publication.,Valencia et al.2024,2005-01-00,2453371.5
2011AJ....141..194G,Gorski et al.2011,K(JK),23.26,0.07,2,2011,2024,Data from Gieren et al. 2006.,Valencia et al.2024,2011-06-00,2455713.5
2011AJ....141..194G,Gorski et al.2011,J(JK),23.31,0.05,2,2011,2024,Data from Gieren et al. 2006.,Valencia et al.2024,2011-06-00,2455713.5
2012A&A...540A..49M,"McCall, M. L. et al.2012",I(VI),23.32,0.1,2,2012,2024,"It is not known whether the observations were made in Spain, Mexico, Chile, or Hawaii.",Valencia et al.2024,2012-04-00,2456018.5
2012A&A...548A.129F,Fusco et al. 2012,F814W(F475W F814W),23.51,0.05,1,2012,2026,"Uses m_TRGB,0=19.41+/-0.03 and a BaSTI calibration M_F814W=-4.10+/-0.04. This approach assumes a metallicity range for the old RGB population.",Quintero-Salazar et al.2026,2012-12-00,2456262.5
2012A&A...548A.129F,Fusco et al. 2012,F814W(F475W F814W),23.54,0.05,1,2012,2026,"Uses the dereddened TRGB color, 2.36+/-0.04, in a BaSTI magnitude-color relation. This minimizes sensitivity to uncertain age and metallicity.",Quintero-Salazar et al.2026,2012-12-00,2456262.5
2012A&A...548A.129F,Fusco et al. 2012,F814W(F475W F814W),23.53,0.05,1,2012,2026,"Adopted from the agreement of the 23.51 and 23.54 solutions. The main text quotes 23.53, whereas the abstract and conclusions report 23.54+/-0.05.",Quintero-Salazar et al.2026,2012-12-00,2456262.5
