RefCode,Citation,Band,mu_0,e_R,e_S,e_T,Category,Ncef,Zcorr,zeroP,Rank,Year,Date,Comments,Author,ADS_date,JD
2000ApJ...529..723G,Gibson et al. 2000,W(VI),30.2,0.1,0.16,0.188679622641132,2,7,False,LMC,1,2000,2026,Final ALLFRAME+TRIAL solution from 7 of 11 Cepheids with P>20 d; shorter-period stars were excluded for incompleteness. Hill et al. calibration and R_V=3.3 were adopted. No metallicity correction enters this modulus.,Quintero-Salazar et al.2026,2000-02-00,2451575.5
2000ApJ...529..723G,Gibson et al. 2000,W(VI),30.36,0.09,0.16,0.1835755975068582,2,7,False,LMC,1,2000,2026,Alternative solution obtained by applying the standard Key Project PL fit to the original Tanvir et al. photometry. It uses seven long-period Cepheids and is not the paper's preferred ALLFRAME distance.,Quintero-Salazar et al.2026,2000-02-00,2451575.5
2000ApJ...529..745F,Ferrarese et al.2000,W(VI),30.2,0.1,,,1,-1,False,LMC,1,2000,2026,They calculate gamma.,Quintero-Salazar et al.2026,2000-02-00,2451575.5
2001ApJ...547L.103G,Gibson & Stetson 2001,W(VI),29.956,0.098,,,3,7,False,LMC,1,2001,2026,"Uncorrected re-fit of seven previously selected Cepheids using the Stetson WFPC2 zero point, Udalski OGLE-LMC PL relations and mu_LMC=18.45. The error is the internal R_PL term; no galaxy-specific systematic error is tabulated.",Quintero-Salazar et al.2026,2001-02-00,2451941.5
2001ApJ...547L.103G,Gibson & Stetson 2001,W(VI),30.096,0.098,,,3,7,True,LMC,1,2001,2026,"Metallicity-corrected counterpart of the same seven-star fit, using gamma_VI=-0.2 mag dex^-1 and the adopted field abundance. The correction raises the modulus by 0.140 mag; e_R remains the internal R_PL term.",Quintero-Salazar et al.2026,2001-02-00,2451941.5
2001ApJ...548..564W,Willick & Batra 2001,W(VI),29.94,0.13,,,1,11,False,LMC,1,2001,2026,They do not apply a metallicity correction.,Quintero-Salazar et al.2026,2001-02-00,2451941.5
2001ApJ...553...47F,Freedman et al.2001,W(VI),29.97,0.06,,,1,9,False,LMC,1,2001,2026,There are no specific comments on the publication.,Quintero-Salazar et al.2026,2001-05-00,2452030.5
2001ApJ...553...47F,Freedman et al.2001,W(VI),30.11,0.06,,,1,9,True,LMC,1,2001,2026,There are no specific comments on the publication.,Quintero-Salazar et al.2026,2001-05-00,2452030.5
2002A&A...383..398P,Paturel et al. 2002,W(VI),30.17,0.1,,,3,-1,False,GC,1,2002,2026,Preferred near-solar-metallicity solution with modest Vlim sensitivity (+0.09/-0.05 mag). Table 6 reports 74 sosie matches rather than a verified number of unique Cepheids.,Quintero-Salazar et al.2026,2002-02-00,2452306.5
2002A&A...389...19P,"Paturel, G. et al.2002",W(VI),30.05,0.06,,,1,74,False,GC,1,2002,2026,They use data from Paturel et al. 2002 but with HIPPARCOS calibration.,Quintero-Salazar et al.2026,2002-07-00,2452456.5
2006ApJS..165..108S,Saha et al.2006,W(VI),30.34,0.11,0.08,0.1360147050873544,2,7,True,LMC,1,2006,2026,They delve into the HST CTE correction.,Quintero-Salazar et al.2026,2006-07-00,2453917.5
