No.,(m-M),err(m-M),Distance,Method,Reference,Notes,SN Name,Redshift,H0,LMCModulus
1,28.96,0.11,6.19,Cepheids,2013ApJ...777...79M,"GClstr MESSIER 101 GROUP BCG 1 of 1, VI(W), Z, 619",,,,
2,29.04,0.08,6.43,Cepheids,2001ApJ...549..721M,"GClstr MESSIER 101 GROUP BCG 1 of 1, 8, H",,,,
3,29.04,0.05,6.43,Cepheids,2011ApJ...733..124S,"GClstr MESSIER 101 GROUP BCG 1 of 1, 235, VI",,,,18.41
5,29.06,0.11,6.49,Cepheids,2001ApJ...553..562N,"GClstr MESSIER 101 GROUP BCG 1 of 1, 29, VI +Z",,,,
6,29.1,0.01,6.61,Cepheids,2015MNRAS.449.1171N,"GClstr MESSIER 101 GROUP BCG 1 of 1, R(V) = 1.4695, Z corr. = -0.23 mag/dex",,,,18.5
7,29.13,0.11,6.7,Cepheids,2001ApJ...553...47F,"GClstr MESSIER 101 GROUP BCG 1 of 1, 25, VI, +Z, KEY PROJECT",,,,
8,29.13,0.11,6.7,Cepheids,2001ApJ...553...47F,"GClstr MESSIER 101 GROUP BCG 1 of 1, 25, VI, KEY PROJECT",,,,
9,29.14,0.05,6.71,Cepheids,2016ApJ...826...56R,"GClstr MESSIER 101 GROUP BCG 1 of 1, 251, VI(W)",,,,18.49
10,29.14,0.01,6.72,Cepheids,2015MNRAS.449.1171N,"GClstr MESSIER 101 GROUP BCG 1 of 1, R(V) = 1.2899, Z corr. = -0.23 mag/dex",,,,18.5
11,29.14,0.09,6.73,Cepheids,2004ApJ...608...42S,"GClstr MESSIER 101 GROUP BCG 1 of 1, LMC VIHJK",,,,
12,29.14,0.03,6.74,Cepheids,2015MNRAS.449.1171N,"GClstr MESSIER 101 GROUP BCG 1 of 1, R(V) = 1.4695, Z any",,,,18.5
13,29.16,0.09,6.79,Cepheids,2001ApJ...553..562N,"GClstr MESSIER 101 GROUP BCG 1 of 1, 29, VI",,,,
14,29.17,0.01,6.81,Cepheids,2015MNRAS.449.1171N,"GClstr MESSIER 101 GROUP BCG 1 of 1, R(V) = 1.1450, Z corr. = -0.23 mag/dex",,,,18.5
15,29.17,0.03,6.83,Cepheids,2015MNRAS.449.1171N,"GClstr MESSIER 101 GROUP BCG 1 of 1, R(V) = 1.2899, Z any",,,,18.5
16,29.18,0.08,6.85,Cepheids,2006ApJS..165..108S,"GClstr MESSIER 101 GROUP BCG 1 of 1, LMC ZP",,,,18.54
17,29.2,0.08,6.91,Cepheids,2001ApJ...548..564W,"GClstr MESSIER 101 GROUP BCG 1 of 1, LMC W01",,,,
18,29.2,0.03,6.91,Cepheids,2015MNRAS.449.1171N,"GClstr MESSIER 101 GROUP BCG 1 of 1, R(V) = 1.1450, Z any",,,,18.5
22,29.23,0.07,7.01,Cepheids,2002A&A...389...19P,"GClstr MESSIER 101 GROUP BCG 1 of 1, MW HIPP",,,,
23,29.24,0.08,7.05,Cepheids,2004ApJ...608...42S,"GClstr MESSIER 101 GROUP BCG 1 of 1, LMC VIHJK",,,,
24,29.26,0.15,7.11,Cepheids,2002A&A...389...19P,"GClstr MESSIER 101 GROUP BCG 1 of 1, MW P02",,,,
27,29.3,0.07,7.24,Cepheids,2002A&A...383..398P,"GClstr MESSIER 101 GROUP BCG 1 of 1, 102, VI",,,,
28,29.3,0.07,7.24,Cepheids,2002A&A...389...19P,"GClstr MESSIER 101 GROUP BCG 1 of 1, MW GFG",,,,
31,29.34,0.1,7.38,Cepheids,2000ApJ...529..745F,"GClstr MESSIER 101 GROUP BCG 1 of 1, HST KP Calibrated",,,,
32,29.37,0.01,7.48,Cepheids,2001ApJ...549..721M,"GClstr MESSIER 101 GROUP BCG 1 of 1, 8, I",,,,
35,29.45,0.08,7.76,Cepheids,2001ApJ...549..721M,"GClstr MESSIER 101 GROUP BCG 1 of 1, 8, H",,,,
36,29.58,0.09,8.24,Cepheids,2001ApJ...549..721M,"GClstr MESSIER 101 GROUP BCG 1 of 1, 8, I",,,,
37,29.59,,8.28,Cepheids,2006A&A...452..423P,"GClstr MESSIER 101 GROUP BCG 1 of 1, 31, VI",,,,
38,29.71,0.18,8.75,Cepheids,2001ApJ...549..721M,"GClstr MESSIER 101 GROUP BCG 1 of 1, 8, V",,,,
39,29.77,0.09,8.99,Cepheids,2001ApJ...549..721M,"GClstr MESSIER 101 GROUP BCG 1 of 1, 8, V",,,,
72,28.94,0.34,6.14,TRGB,2018ApJS..235...23S,GClstr MESSIER 101 GROUP BCG 1 of 1,,,,
73,29.05,0.06,6.46,TRGB,2011ApJ...733..124S,"GClstr MESSIER 101 GROUP BCG 1 of 1, I",,,,
74,29.09,0.34,6.58,TRGB,2018ApJS..235...23S,GClstr MESSIER 101 GROUP BCG 1 of 1,,,,
75,29.12,0.04,6.66,TRGB,2017ApJ...836...74J,"GClstr MESSIER 101 GROUP BCG 1 of 1, I, LMC zero point",,,,
76,29.12,0.14,6.68,TRGB,2015AstL...41..239T,"GClstr MESSIER 101 GROUP BCG 1 of 1, Field 1",,,,
77,29.14,0.32,6.73,TRGB,2018ApJS..235...23S,GClstr MESSIER 101 GROUP BCG 1 of 1,,,,
78,29.14,0.32,6.73,TRGB,2018ApJS..235...23S,GClstr MESSIER 101 GROUP BCG 1 of 1,,,,
79,29.15,0.04,6.75,TRGB,2017ApJ...836...74J,"GClstr MESSIER 101 GROUP BCG 1 of 1, I, NGC 4258 + LMC zero point",,,,
80,29.15,0.02,6.75,TRGB,2017ApJ...836...74J,"GClstr MESSIER 101 GROUP BCG 1 of 1, QT, LMC zero poQTnt",,,,
81,29.16,0.02,6.79,TRGB,2017ApJ...836...74J,"GClstr MESSIER 101 GROUP BCG 1 of 1, QT, NGC 4258 + LMC zero poQTnt",,,,
82,29.17,0.02,6.81,TRGB,2017ApJ...836...74J,"GClstr MESSIER 101 GROUP BCG 1 of 1, QT, NGC 4258 zero poQTnt",,,,
